image_id,question,answer,path
51p3vjxL8sL,What is the bedding material?,Polyurethane,63/6307ff88.jpg
61S5aPyRhOL,What electronic item is pictured?,Phone,78/78804438.jpg
91pp-7An7JL,What is the sofa's color?,Grey,5d/5d2e81a4.jpg
71UEH1pYI9L,What type of product is this?,Case,6a/6a3a79b1.jpg
71-XxsW5ChL,What animal is featured?,Kitten,b6/b688278a.jpg
717w2DCZL1L,What is the material?,Plastic,b3/b33810b6.jpg
81GfYS-nHlL,Is the cauliflower organic?,Yes,99/99e08492.jpg
81fZSHzEjOL,For what phone is this designed?,Samsung,27/2748476b.jpg
81uVOJSvMEL,What type of meter is it?,Moisture,05/051f98e7.jpg
71dZaT95Q9L,What color is the lower portion of the phone case?,Blue,8b/8ba0dfd6.jpg
41ImDBNcu-L,What is the brand of this travel adapter?,AmazonBasics,0c/0c5a0e7b.jpg
81hJTxxjZ4L,What is the starter for?,Charcoal,3f/3f4ab03b.jpg
91xinlRE0uL,What is the brand of these cushions?,UMI,3e/3e6c357e.jpg
81K+pzoOTlL,What material is the back case made of?,Hard,ea/eaf7c502.jpg
71Q6I6qJx4L,What is the case's brand?,Solimo,49/4935afe6.jpg
71AhrmdXSaL,What phone is this case made for?,LG,cd/cd2f3db6.jpg
71v+PsjwA6L,What is the chain's style?,Ball,9f/9f0a1012.jpg
81ThSJYdR6L,What is the advertised print style?,3D,db/db70ccd2.jpg
71tUFCMOl9L,What is the brand name?,Solimo,71/710dc17f.jpg
61+rVZB7hWL,What color are the wall anchors?,Green,59/59bb3dc0.jpg
71BsJvxnmfL,What is the main color?,Brown,c4/c47c63c5.jpg
81jOdP8nLkL,"What color is the ""TEST"" button?",Red,97/97144f3f.jpg
71rO4KC9IvL,What is printed in 3D?,Case,79/7927a907.jpg
71VtYAoa5mL,Is this electric?,Yes,d6/d6106cd0.jpg
71WwxZQLZML,What type of design is it?,Rangoli,a1/a1f281cd.jpg
71vUMFizV4L,What year was the boot modeled?,2019,ff/ffdda28f.jpg
91cnOWgt7QL,What is the product?,Sugar,d6/d65e9873.jpg
71z1taYeMhL,Are there shoelaces?,No,43/431a2392.jpg
71eggkPdmML,How does it fasten?,Zipper,ab/ab3428f7.jpg
61Y7qkbBzQL,What's the model?,Redmi,45/45f42bb9.jpg
51Fmeti+epL,Are these pills vegan?,Yes,7e/7e27d4c6.jpg
71n3dL7izRL,Which phone model is this case for?,Samsung,76/76adaa96.jpg
61QA9+hq03L,What color is the background?,Black,c2/c2ab87f9.jpg
61oRH8cMwrL,What type of printing is on the phone case?,3D,d3/d3025641.jpg
71tsJ6NlLoL,What brand makes this case?,Solimo,05/0589db4d.jpg
71XmaRlSHjL,What is on the surface?,Water,4a/4a8cfdc9.jpg
71kbyiWzazL,What can this shred besides paper?,Creditcards,92/92557acd.jpg
81QzcXBAQJL,What brand made this product?,Solimo,02/02c81b6d.jpg
71W47jP9cvL,Which brand is associated?,Happybelly,02/02b96dd9.jpg
613ahPUuIRL,What are the headphones' color?,Blue,6c/6c33448f.jpg
61foNPdOg3L,What color is the pack?,Grey,82/8211e6ba.jpg
819T5JIbwVL,What company manufactures this blanket?,Rivet,47/4740ce37.jpg
81tQR-ojKwL,What is the shoe's brand?,Symbol,8f/8fc3932f.jpg
61g-D-H98sL,What is the color of the clock?,Black,d2/d252982c.jpg
81Nrl0bn0DL,What color is the frame?,Blue,ae/aec5b63d.jpg
81cWg+xKEoL,What brand is this cover?,Solimo,13/131208ea.jpg
71M-AeG2R4L,What is the first word of the brand?,Find,5d/5d8bee28.jpg
71m1AGk+LfL,What color is the background?,Black,b1/b1b4d834.jpg
81ohoqGUUbL,What material are the curtains made of?,Cotton,cf/cf6cb054.jpg
813UENZYoNL,What is the material?,Leather,13/13f2644f.jpg
710ljAd57WL,What type of phone accessory is it?,Case,8f/8fffef17.jpg
81XgZvOPsxL,What is the bomb's weight?,TwoPointEight,bb/bb590226.jpg
81rGd3LbxEL,What brand is indicated in the metadata?,Solimo,bb/bbd1809d.jpg
81wg-owEZ-L,What material is the case made of?,Plastic,61/61c2af09.jpg
41M3nDu3OaL,What color is the lamp?,White,06/0644012a.jpg
81+Z24St0BL,What brand is it?,Solimo,2a/2aebbc7b.jpg
71WDyZqTWWL,What is the design printed on the case called according to its title?,Rangoli,f9/f9f43c73.jpg
61oE2Ce-mUL,What is the boot categorized as?,Boot,86/86af4f26.jpg
71D7myP00IL,What color is the end of the handle?,Red,f4/f4df69ea.jpg
81xDa6CLzsL,What type of shoe is it?,Loafer,a6/a6f113d1.jpg
61fR+3YkeWL,What is the color described in the title?,Multi,15/15975740.jpg
81kGCFbo2IL,What is the dominant shape in the pattern?,Diamond,8c/8c1dcbdf.jpg
616CXWrr6RL,What is covering the leaves in the picture?,Drops,38/38e17fc2.jpg
71m6UgYIXGL,What is the cover design?,Randam,ad/ad5239c2.jpg
71OGFCtTHaL,What phone is the cover for?,Redmi,7e/7e408e71.jpg
71dQkbtVabL,What emotion is on the case?,Happy,6e/6e07d200.jpg
71r8vaO69iL,What is the brand name?,Solimo,89/89d00f1c.jpg
71DMTCy7aXL,What is the case's material?,Silicon,f7/f7d464eb.jpg
61pwzffhUlL,Does this shoe have laces?,No,67/67334aac.jpg
81NSyapnOjL,What size is the ring?,Eight,38/3886ef7e.jpg
81q8a4skSbL,What material is the top made of?,Mesh,60/6099a97d.jpg
713MrcodiDL,What shape decorates the case?,Circle,2b/2b262d66.jpg
71VA+fP+FUL,What is the color of the metal trim?,Copper,d1/d14a076d.jpg
913jE4N+hcL,What color is the frame?,Black,11/11ac1d98.jpg
71CoCGG1-ML,What color is the phone case?,Multicolor,3a/3a9978e7.jpg
81EmHX-wXsL,What color is the bottle's cap?,Black,86/8685295d.jpg
81ImPKqCl4L,What closure type is this?,Slip-on,6b/6b5b1d7e.jpg
617d3W78YqL,What is the cover's material?,Plastic,a4/a4c987c7.jpg
81qSXLVLemL,What brand is on the case?,Solimo,9e/9ef3816a.jpg
71DEmN8H8AL,How many cameras are visible?,Three,33/33184484.jpg
81woP1sTcNL,Is this shoe intended for women?,No,6b/6b6cc8c1.jpg
81uQ4FrxCHL,What shape are most of the blocks?,Rectangular,d4/d4dfe8e6.jpg
81+LEQ3K1sL,Is the back case hard or soft?,Hard,56/564c06a2.jpg
71nxhdC4lTL,"According to the metadata, what brand is this phone case?",Solimo,41/416c1529.jpg
51cxHLTsA4L,What is the brand name?,Solimo,cb/cbc6dd7c.jpg
81einDPxDoS,What type of oil is recommended?,Citronella,f5/f5dea02a.jpg
71uJU0T643L,What color are the shoelaces?,Orange,db/db7dd250.jpg
61BgoXCW0VL,What color is the product?,Salmon,5d/5d336303.jpg
617U6FVDOcL,What's the item class according to the product metadata?,Beverage,f9/f983f396.jpg
81j8Hyy928L,What color is the bag?,Black,9b/9ba0e3fc.jpg
519WQGceF4L,Is the phone case slim or thick?,Slim,37/3773cfc4.jpg
71CQZ98yTTL,Which phone is this for?,LG,bf/bf13399b.jpg
61JEm3ygQaL,What color is the background of the case?,Pink,a7/a7021140.jpg
81dKTrBnrlL,What brand is the product?,Solimo,74/74b7a0f1.jpg
B1VKAMzj7pS,What is the brand of this item?,Rivet,eb/eb076ee8.jpg
81qTSf3NzRL,Is this product for women?,No,8e/8e4ffe64.jpg
71NFT5XeMdL,What is the case's brand?,Solimo,b2/b21485bd.jpg
81clkwhaX9L,What phone model is this case for?,Oppo,31/31c24dab.jpg
61FPI-3qJNL,What color is the wood?,Walnut,16/166beafd.jpg
81qFkMGnWjL,What style is the bag?,Croissant,6b/6ba933dd.jpg
71kQdk-ss1L,What closure does the sandal have?,Buckle,99/99ab3bf3.jpg
613i9P7vaYL,What animal is pictured?,Kitty,a5/a5107fbf.jpg
81ZGz7WZTfL,What material is it?,Hard,6f/6ffbb51d.jpg
710xL8YsVVL,What is printed with gold color?,Text,af/afaedaa6.jpg
91cfqemKVKL,What type of furniture is this?,Sofa,fe/fe08cd6f.jpg
71zN+o34pfL,What object is in the image?,Case,a8/a8b1c242.jpg
71Ew7NRD4ZL,What is the subject of the image?,Bird,94/9423ed7c.jpg
71W7h69QPRL,What color is the shoe?,Grey,24/24ece65e.jpg
71t7tf5+qqL,"What is printed below ""Daddy's Girl""?",World,91/9176c0f2.jpg
71SI2q3HqpL,Is this product BPA-free?,Yes,e0/e04fd3b0.jpg
8108D8A7ogL,What shape does the sparkly accessory have?,Crown,c9/c9a574f0.jpg
71g7AwH6cbL,What is the color of the armrests?,Black,36/3651d46c.jpg
81C47MaQLgL,What is the shoe style?,Low-top,f2/f224a7cf.jpg
91nPRVy15hL,What is the artwork's height?,Sixteen,2d/2d92308d.jpg
71wRGtHB6GL,What material is the case made of?,Hard,d5/d58027e6.jpg
61oOwLqAZNL,What design appears on the case?,Couples,62/6227d7dc.jpg
61jGLIrjUvL,What material is the shoe made of?,Suede,df/df22ad08.jpg
71vCwutYX-L,What is the phone brand?,Realme,e9/e940fcd8.jpg
616jT3TNoDL,What is the product type shown?,Microphone,c5/c5fc64a7.jpg
710PrWdNvZL,What is held by the woman?,Flowers,cf/cf78ab78.jpg
71pL5pXLXUL,What unit is the length measured in?,Inches,84/84e3b3f5.jpg
71wX6dYaFrL,What type of shoe is this?,Sandal,64/646701c2.jpg
81VClELT6YL,What material is the phone case?,Silicon,5a/5a2047c3.jpg
71lBIWc-i9L,What is printed on this cover?,Princess,6a/6a328198.jpg
51Qplm09X4L,What is the material of this rug?,Wool,57/57a52de7.jpg
71xVYoN8eIL,What device is this for?,Xiaomi,31/31dca40a.jpg
51sQxJ6kCDL,What brand is the product?,AmazonBasics,46/4671a70f.jpg
51hIBB4RftL,What is the brand?,AmazonBasics,3a/3a4fb889.jpg
41gZ0BM3dnL,Are there glass balls?,Yes,8c/8cef24be.jpg
81oKcJpKwzL,What is the material of the case?,Cloth,92/92787e80.jpg
71WjZXjfBRL,What phone brand does this case fit?,Motorola,b3/b3396673.jpg
71Q8GTCjUIL,Is the juice fat free?,Yes,cd/cd9e9f8d.jpg
711aV4tV+kL,What material is used?,Hard,7e/7e14f386.jpg
71-jXBq1yHL,What year was the model released?,2018,35/3522dab6.jpg
716H5fKjAPL,What insect is near the woman's feet?,Butterfly,03/03fb33c2.jpg
81XdLaWZI7L,What is the case made of?,Hard,32/32d80586.jpg
71NWfN9pUzL,What is the model this case fits?,Oppo,0b/0b5ef702.jpg
61xWqmPgFXL,How many flat sheets are included?,One,12/125fd406.jpg
81CjddXtHOL,What is the predominant color?,"""Gray""",f0/f084e726.jpg
81o6brl4PKL,Is this footwear?,Yes,08/083d132a.jpg
81im3fusNPL,What is the outer material?,Mesh,e1/e1a916a3.jpg
71oW626gG4L,What's the picture depicting?,Couples,ad/ad476d68.jpg
71wYzW+5mVL,What metal is the chain made of?,Silver,3c/3c8fedf0.jpg
71PdZukpaeL,What is the model of the phone case?,Realme,ec/ece21af2.jpg
71sWHaVfr+L,What kind of shoe is this?,Slipper,02/02c0ef5b.jpg
61ow+fv5loL,What kind of car is on the cover?,Toy,63/634f4f20.jpg
71yPIccJDFL,What is the pattern described as?,Rangoli,a9/a9acfe24.jpg
71xbykEPvQL,What is the brand of this item?,Amazonbasics,74/74fd87d6.jpg
61yq579OLBL,What is the brand of this shoe?,find.,01/01f4fc29.jpg
81HmHN3yUjL,What is the capacity in ml?,450,65/658f1c3b.jpg
81cJRSH+M2L,What shape is the crown?,Triangular,cf/cf9b75e9.jpg
71jGBhwXXmL,What color is it?,Multicolored,cb/cbee2a1d.jpg
810PLvA8POL,What thread count do these sheets have?,Two-hundred,09/097a5951.jpg
61VV6yCIUaL,What shape is the camera?,Circle,e3/e30880dc.jpg
81Egb-KNgML,What is printed on the back case?,Brick,ca/ca2f1fcb.jpg
71OR8+6fgxL,What is the product type shown?,Case,28/28cbc736.jpg
81nTg-YHI5L,Is there a warranty?,None,25/2568ad3a.jpg
81ogJqhPdXL,What is the brand name of the mat?,AmazonBasics,07/07c0a04c.jpg
81hbNeWeD1L,How many pads are there?,Thirty-six,b7/b7542656.jpg
71Pg0UiVlpL,What is the brand name?,Mamabear,b4/b487e058.jpg
71ErScbeoVL,What animal is depicted on the cover?,Lion,a1/a1c80399.jpg
81acDcG6T3L,What action is indicated by the arrows?,Pull,40/40f88370.jpg
5135GTCOhwL,What are the long thin parts?,Rods,3f/3f30caa5.jpg
71nFWIuTtrL,What brand is the phone case?,Solimo,15/1540f0d3.jpg
71-Efh5ZQgL,What phone is this cover for?,ThinQ,f1/f1c7f1b2.jpg
51nQlpTRBLL,What percentage of hydrocortisone is in this cream?,One,a1/a17c6149.jpg
61iaE3Nsc6L,What material is the phone case made of?,Plastic,42/425a17ba.jpg
71WGFrRi9iL,What is printed on the case?,Lady,2f/2f5abe9b.jpg
816xAiudp5L,What is the cleaner's brand?,Presto,85/85ab7454.jpg
71qdJ7BxUAL,What material is the number made of?,Chain,7f/7f172b36.jpg
71trQqMkV2L,How many coats are there?,Two,32/32b55eed.jpg
71NSB5VUjmL,What shape are the leg cutouts?,Oval,6f/6f6b0f20.jpg
71mvDnaUHmL,What is the color of the largest brush stroke in the upper right?,Orange,00/00d8f93e.jpg
71S8Pir7zpL,What is the main color?,Multicolor,60/608fa2f4.jpg
91OVHgaUiYL,What brand is on the package?,Vedaka,05/0533e2e8.jpg
A1782XocQdL,What shape is the rug?,Rectangular,5d/5d081ecf.jpg
71X8NzzdLHL,What is the brand name?,AmazonBasics,c6/c69d6f92.jpg
71XJAlffeML,What brand is the case?,Solimo,52/5265e122.jpg
71RL1MrIhKL,What brand is the case?,Amazon,2e/2ee012c8.jpg
51zBdZ1Ux4L,How many tablets are there?,Five-hundred,1f/1fde722d.jpg
61OnkGVhMWL,How many pounds does the item weigh?,3.2,35/3595924e.jpg
81k8JaYtQUL,What material is the blind made of?,Polyester,90/905deb37.jpg
81toYrk1X6L,What herb is this?,Dill,97/9779f9ce.jpg
71k8yp17P5L,What color is the handle?,Bronze,42/42e4e165.jpg
81vgKVXo3sL,What shape dominates the design?,X,04/04c9150f.jpg
81mbwONwu-L,What color is the handbag?,Green,de/deaf630d.jpg
71zDDYIWtCL,What pattern is on the phone case?,Solar System,04/04bbc108.jpg
71Qk8FZFTML,What kind of product is this?,Umbrella,3f/3f81bc6d.jpg
81vX5wbd1oL,What shape is the frame?,Square,c8/c81d7d33.jpg
71rBrMzcCsL,What year is the phone model?,2016,24/2441c22d.jpg
717WEIcoqnL,What room is this stool for?,Bar,f3/f3c4288a.jpg
51Kd515nGqL,How many legs does it have?,Three,e6/e6909351.jpg
81CefJoGa6L,What secures the shoe?,Velcro,71/71ecd657.jpg
91RRIW9JEBL,What shape is the bed?,Rectangle,f8/f85dea71.jpg
71oIPvV38OL,What material is the case made of?,Plastic,0e/0ebb72d5.jpg
71XKweZ8RcL,What weight is indicated on the container?,Forty,e8/e8ddfa31.jpg
7168HPhsezL,What shape is the item?,Rectangular,bb/bb9662a5.jpg
713JAUHSTTL,What is the phone case's printed mountain background color?,Green,21/215cb936.jpg
817pW2ezU8L,What is the brand's first word?,Wickedly,6f/6f0522aa.jpg
81jsNdkI+8L,What shape is the logo?,Circle,cc/ccc032c3.jpg
71BSJI4aetL,What are the primary colors present?,Blue,80/80d5c8c0.jpg
610yeWPoveL,What shape are the desk corners?,Rounded,00/006f1731.jpg
81LGMdEGmcL,What is the sandal's closure type?,Tasseled,95/95c945ee.jpg
81F0q-ugkML,What is the material of the outer shoe?,PU,32/32d6ee96.jpg
81Dw5AG8lDL,What kind of sheet is included?,One,40/4081f441.jpg
71RyHVlS7mL,What is the background color of the case?,Brown,36/368305af.jpg
81qqXGNqMbL,What shape is the camera hole?,Circle,38/38ceaac1.jpg
71DIsN9sLlL,Are these shoes for men?,No,37/37562022.jpg
71Bb8jnOizL,What material is the upper made of?,Mesh,2b/2b50a58e.jpg
81EJnPsT3TL,What are the colors of the item?,Verde or AzulMarino,ba/bafe17c3.jpg
81hVIVKR8ML,What roast is this coffee?,French,b0/b0b889ee.jpg
71rr52i9BXL,What material is the slipper's lining made of?,Shearling,16/164d3e29.jpg
6101vTMGKfL,What color is the base?,White,64/64339583.jpg
61HtezlUKXL,What is the primary background color?,Red,c6/c681dc01.jpg
814vD2Rn+8L,What brand is this product?,Solimo,6f/6f78dd34.jpg
71vZw8zMGkL,What color is the shoe?,Black,3d/3d6ae5ae.jpg
61+TK77EA8L,What Amazon brand makes these shoes?,Essentials,49/49f4be7d.jpg
615elSKxqJL,What phone model is this designed for?,Oppo,bd/bd9820a7.jpg
714CNDBS6pL,What animal is on the package?,Dog,c1/c1390cb3.jpg
81aqfir0b-L,How many servings per container?,Three,2d/2d6fb19a.jpg
71YfapmITyL,What is the main color?,Multi,52/5299e161.jpg
616ssE1+4iL,What brand is the headboard?,Stone,90/9060b039.jpg
81c9ACng4SL,What is the item's height?,Twenty-six,35/350f7090.jpg
71Va4mUkGwL,What fruit is pictured?,Watermelon,77/775ec959.jpg
616VdIdMlUL,What is the displayed phone's brand?,Apple,7b/7bc42ef4.jpg
81KzhScup4L,What color is the item?,Black,dc/dc87a5d8.jpg
61EiPjkUYkL,What is the case material?,Silicon,1f/1f593bab.jpg
81sKMC0mO1L,What style is the bag?,Sling,b0/b00a7958.jpg
81dLBwFqFHL,What shape is the lampshade?,Cone,ea/ea497561.jpg
81cN3Jdz3dL,What is the brand?,Amazon,18/181feec5.jpg
81H1owm2UJL,What pattern covers the base of the flip-flops?,Chevron,98/987b333f.jpg
71fmonGY-FL,What type of surface is this case designed for?,Back,3c/3c880273.jpg
61Nyr+SlLUL,How many years is the warranty?,Three,4b/4bab2a70.jpg
81E0MLJYixL,What is the net weight in ounces?,0.15,f8/f87d299f.jpg
71oBnpO2DaL,What time of day is depicted?,Sunset,6d/6d22bdf2.jpg
81CyZnDA3gL,How many capsules are inside?,250,60/600cc52e.jpg
71HNlUw6rwL,What is the fluid ounce amount?,Eight,ac/ac407117.jpg
718xttBFH8L,What type of case is this?,Hard,69/694f271f.jpg
7168oVzZxiL,What are the objects in the picture?,Brushes,9e/9e286dd8.jpg
915k8S+l3aL,What color is the sheet?,Blue,9b/9b513bb8.jpg
91zE0lK1wQL,What is the item id?,B07Q753DLK,5a/5ac117ff.jpg
61QpWXge9WL,How many bulbs are shown?,Ten,58/5856eb9b.jpg
71oZDqam+aL,What brand is this case?,Amazon,48/48584c93.jpg
71oPuVH4u5L,What brand is it?,Wickedly,61/614593f8.jpg
71e9rHz1SXL,What brand is the item?,Solimo,ff/ff6160ba.jpg
61ufGDHVoNL,What is attached along the edge?,Nailheads,85/85527c58.jpg
81STVvRePBL,How many ounces is the trail mix?,Sixteen,dd/dd2bce3c.jpg
61OnkGVhMWL,What unit are the item dimensions in?,Inches,35/3595924e.jpg
71LtXflaykL,What is the cover designed for?,Lyf,e9/e98ac3fc.jpg
714tIuNOO7L,What is printed on the backdrop?,Matriana,57/57e1780d.jpg
81RAwWXfCwL,What kind of balls are these?,Soccer,9d/9d49d0f4.jpg
71PqVr0E6VL,What phone model is this case for?,Lenovo,2a/2ab1eec5.jpg
71RFncbfXgL,What brand sells the phone cover?,Solimo,02/0285dc5f.jpg
61Mkghmil-L,What mode is intended for nighttime?,Silent,d6/d6861b77.jpg
71Ik1NI1y9L,What is the product type?,Case,b8/b8f99328.jpg
B1laOn9HKVS,What brand is advertised?,Ravenna,52/52ae0042.jpg
81J1z-a04nL,What material are they made of?,Plastic,a6/a6adf7f9.jpg
61zIfmRFO+L,What color is predominantly shown?,Blue,d4/d4a658bc.jpg
61+lAIir5GL,What country are the thins made in?,Belgium,9a/9a6f6cd2.jpg
718ZyJxEIwL,What does the phone case fit?,OnePlus,bf/bfd641da.jpg
71NWEmLmxTL,What color is the case?,Multicolor,cf/cf08dc8f.jpg
715glYhpcVL,What's the product's brand?,Solimo,e4/e467315f.jpg
71NFT5XeMdL,What is the material?,Silicon,b2/b21485bd.jpg
71H+hjZwDGL,What year were these boots made?,2019,62/6249243c.jpg
71uLkC9sYmL,What pattern has rainbow stripes?,Heart,9a/9ada4c30.jpg
71e+K5K17bL,What type of product is this?,Case,10/10607650.jpg
61OnkGVhMWL,What brand is featured?,Amazonbasics,35/3595924e.jpg
814gFVhbUML,What material is the sheet?,Cotton,80/80e2e73a.jpg
81MGMEZbtGL,What color is the storage bag?,Gray,6c/6cd4c8a5.jpg
71RFncbfXgL,What color are the flowers?,Pink,02/0285dc5f.jpg
71ebt2ORCZL,What animal is pictured on the bag?,Camel,08/08240325.jpg
91f1yquWezL,What material is inside?,Gel,99/99ee98e1.jpg
71z8f1LcrmL,What is the mobile cover's brand?,Solimo,99/99c18820.jpg
71l+v2nvhVL,What letter is displayed?,N,fb/fbcba3fc.jpg
71RT-5VFR5L,What is the item's model number?,AM0023,01/011284f5.jpg
91e1hw35cDL,What color is the frame?,White,c8/c858e5d8.jpg
714HvInrByL,What material is the case made of?,Hard,26/2699f92c.jpg
81xWk56keKL,What color are the blinds?,Grey,69/69d0298f.jpg
61ZOam0javL,What material is the case made of?,Plastic,64/64eefdd2.jpg
71WJoxQmfpL,What is the label color?,White,65/651770c4.jpg
91p9rnaRniL,What brand is the sofa?,Rivet,1e/1eec2415.jpg
71QH7PnfS7L,What is the design theme?,Sea,e4/e443edf3.jpg
71I5zYRyXXL,What color are the shoes?,Brown,64/6406cf84.jpg
61qneeA5zAL,What surface are the screen and camera lifted off of?,Flat,43/4346b2fa.jpg
81Y3Grbqz5L,What is this product's type?,Bag,d9/d9885fe8.jpg
71bUcE5Vt3L,What color are the butterflies?,Golden,8e/8e2f6f65.jpg
71h+rUoaooL,What brand is the cover?,Solimo,81/8142a9b6.jpg
81BEDNeeYTL,Is this a wallet-style case?,Yes,7e/7ebee30f.jpg
817APzpoLsL,What material is the top of the bags?,Mesh,b6/b60ff26b.jpg
712PReOD2ML,What is the sheet made of?,Cotton,5a/5aedf68b.jpg
81sqJD26DpL,How is the case printed?,3D,a0/a0aa5982.jpg
71JEFBwncoL,Is this item for men?,Yes,c9/c950067e.jpg
810HcaJVHML,What color is the cover?,Green,e9/e9980ba7.jpg
41UPR36CAVL,What are next to the pitcher?,Cartridges,d4/d40f40d9.jpg
61lPyc20+BL,What is the model number?,UV10845-SL40765,1c/1c2967e5.jpg
61zb5v4TBCL,What color is the candle in the picture?,Red,2f/2f08f974.jpg
61rLhySMdUL,What shape is repeated in the pattern?,Heart,b6/b66a51bb.jpg
71jmqBxI35L,Which phone is this cover designed for?,Oppo,76/76ae92c5.jpg
61dqfIhvFIL,What color is the background?,Yellow,93/938b36c4.jpg
71e171Y+O5L,What type of case is it?,Hard,79/790ee7b0.jpg
61mj8kcWHqL,What type of accessory is this?,Cover,fb/fb92ff21.jpg
81S0VjXrV2L,What is the brand of the shoe?,Find,1c/1cd72a7a.jpg
71KJOIqNYFL,What brand is it?,Solimo,55/559bd91d.jpg
